"","total_points","was_home","kickoff_time","round","modified","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","value","transfers_balance","selected","transfers_in","transfers_out","id","first_name","second_name","web_name","photo","short_team_name","strength","total_xg_conceded","opp_team_name","opp_short_team_name","opp_strength","team_strength","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def","Position","Goals","Opp_Goals","name_club","full_name","cs_mean","recent_starts","points_mean","bps_mean","xg_mean","xa_mean","xgi_mean","xg_against","goals_mean","oppgoals_mean","threat_mean","creativity_mean","influence_mean","ict_mean","team_xg","team_xg_mean"
"1448",0,FALSE,"2025-08-22T19:00:00Z",2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-15270,26164,174,15444,227,"Levi","Samuels Colwill","Colwill","460028.jpg","CHE",4,"0.73","West Ham","WHU",3,1245,1100,1190,1100,1300,1100,"DEF",5,1,"Colwill (CHE)","Levi Samuels Colwill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,1.494
"1449",0,TRUE,"2025-08-30T11:30:00Z",3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-6266,20453,131,6397,227,"Levi","Samuels Colwill","Colwill","460028.jpg","CHE",4,"1.02","Fulham","FUL",3,1185,1125,1150,1130,1220,1120,"DEF",2,0,"Colwill (CHE)","Levi Samuels Colwill",0,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0,2.36,1.576
"1450",0,FALSE,"2025-09-13T19:00:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-2950,17835,91,3041,227,"Levi","Samuels Colwill","Colwill","460028.jpg","CHE",4,"1.43","Brentford","BRE",3,1245,1120,1190,1080,1300,1160,"DEF",2,2,"Colwill (CHE)","Levi Samuels Colwill",0,0,0,0,0,0,0,0,2.33333333333333,0.333333333333333,0,0,0,0,1.26,1.796
"1451",0,FALSE,"2025-09-20T16:30:00Z",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1348,16606,44,1392,227,"Levi","Samuels Colwill","Colwill","460028.jpg","CHE",4,"1.84","Man Utd","MUN",3,1245,1105,1190,1110,1300,1100,"DEF",1,2,"Colwill (CHE)","Levi Samuels Colwill",0,0,0,0,0,0,0,0,2.25,0.75,0,0,0,0,0.43,1.962
"1452",0,TRUE,"2025-09-27T14:00:00Z",6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-818,15842,47,865,227,"Levi","Samuels Colwill","Colwill","460028.jpg","CHE",4,"2.28","Brighton","BHA",3,1185,1175,1150,1140,1220,1210,"DEF",1,3,"Colwill (CHE)","Levi Samuels Colwill",0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.82,1.684
"1453",1,TRUE,"2025-08-17T13:00:00Z",1,FALSE,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1.3,1,0.2,0,0,0,0,0,0.02,0,0.02,0.05,50,0,160818,0,0,228,"Malo","Gusto","Gusto","482609.jpg","CHE",4,"0.66","Crystal Palace","CRY",3,1185,1160,1150,1130,1220,1190,"DEF",0,0,"Gusto (CHE)","Malo Gusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.728
"1454",2,FALSE,"2025-08-22T19:00:00Z",2,FALSE,68,0,0,0,1,0,0,0,0,0,0,0,3,9,2.7,0,1.2,3,1,2,5,1,0,0.01,0.01,0.29,50,-20020,169896,10481,30501,228,"Malo","Gusto","Gusto","482609.jpg","CHE",4,"0.73","West Ham","WHU",3,1245,1100,1190,1100,1300,1100,"DEF",5,1,"Gusto (CHE)","Malo Gusto",0,11,1,2,0.02,0,0.02,0.05,0,0,1,1.3,0,0.2,2.77,1.494
"1455",6,TRUE,"2025-08-30T11:30:00Z",3,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,30,13.8,15.5,4,3.3,3,7,2,5,1,0,0.05,0.05,1.02,50,-11879,170271,12127,24006,228,"Malo","Gusto","Gusto","482609.jpg","CHE",4,"1.02","Fulham","FUL",3,1185,1125,1150,1130,1220,1120,"DEF",2,0,"Gusto (CHE)","Malo Gusto",0,39.5,1.5,2.5,0.01,0.005,0.015,0.17,2.5,0.5,0.5,2,4.5,0.7,2.36,1.576
"1456",0,FALSE,"2025-09-13T19:00:00Z",4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-602,179681,14418,15020,228,"Malo","Gusto","Gusto","482609.jpg","CHE",4,"1.43","Brentford","BRE",3,1245,1120,1190,1080,1300,1160,"DEF",2,2,"Gusto (CHE)","Malo Gusto",0.333333333333333,56.3333333333333,3,11.6666666666667,0.00666666666666667,0.02,0.0266666666666667,0.453333333333333,2.33333333333333,0.333333333333333,1.66666666666667,6.5,7.6,1.56666666666667,1.26,1.796
"1457",1,FALSE,"2025-09-20T16:30:00Z",5,FALSE,26,0,0,0,0,0,0,0,0,0,0,0,4,0.6,1.8,4,0.6,0,4,0,0,0,0,0.01,0.01,0.39,49,-16240,165388,5084,21324,228,"Malo","Gusto","Gusto","482609.jpg","CHE",4,"1.84","Man Utd","MUN",3,1245,1105,1190,1110,1300,1100,"DEF",1,2,"Gusto (CHE)","Malo Gusto",0.25,42.25,2.25,8.75,0.005,0.015,0.02,0.34,2.25,0.75,1.25,4.875,5.7,1.175,0.43,1.962
